booking_id,booking_date,departure_date,lead_time_days,airline,origin,destination,haul_type,cabin_class,trip_type,fare_basis,booking_channel,booking_source,pax_count,base_fare_inr,taxes_inr,total_fare_inr,ancillary_revenue_inr,payment_method,prior_bookings,booking_status,customer_complaint,satisfaction_score
CLR-00011,2025-12-12,2026-04-02,111,Lufthansa,DEL,JFK,Long-Haul,Economy,Round-Trip,MOWRT,API_Partner,NDC,2,42185.76,6713.09,97797.7,,Credit Card,3,Ticketed,,4
CLR-00012,2025-02-21,2025-03-03,10,Condor,DEL,SIN,Medium-Haul,Economy,One-Way,LOWRT,B2B_Agent,NDC,1,10681.7,2101.35,12783.05,1111.68,Agent Credit,0,No-Show,,3
CLR-00013,2025-02-24,2025-05-31,96,Etihad Airways,DEL,SIN,Medium-Haul,Economy,One-Way,,B2C_Website,GDS,2,16591.95,1910.68,37005.26,0.0,Debit Card,15,Cancelled,,4
CLR-00014,2025-02-08,2025-06-02,114,British Airways,BLR,FRA,Long-Haul,Economy,Round-Trip,HOWRT,B2B_Agent,GDS,1,51221.91,9806.8,61028.71,0.0,Credit Card,0,Cancelled,,
CLR-00015,2025-03-25,2025-07-06,103,Lufthansa,HYD,AMS,Long-Haul,Economy,Multi-City,BOWRT,API_Partner,NDC,3,27578.53,5246.33,98474.58,0.0,Credit Card,0,Ticketed,,5
CLR-00016,2025-05-23,2025-09-11,111,Air Canada,MAA,SIN,Medium-Haul,Economy,Round-Trip,YOWRT,B2C_Website,GDS,1,9960.81,2150.1,12110.91,0.0,Agent Credit,0,Cancelled,,5
CLR-00017,2025-04-08,2025-05-11,33,Lufthansa,BOM,DXB,Medium-Haul,Economy,Round-Trip,BOWRT,Mobile_App,GDS,3,14191.77,1274.37,46398.42,5054.2,Bank Transfer,10,Refunded,,4
CLR-00018,2025-07-14,2025-10-09,87,Singapore Airlines,HYD,AMS,Long-Haul,Economy,Round-Trip,HOWRT,B2C_Website,GDS,1,34990.56,4965.24,39955.8,505.59,UPI,0,Ticketed,,5
CLR-00019,2025-06-08,2025-07-07,29,Etihad Airways,COK,DOH,Medium-Haul,Economy,Round-Trip,MOWRT,B2B_Agent,GDS,1,23064.33,3703.99,26768.32,2485.94,Credit Card,14,No-Show,,5
CLR-00020,2025-08-26,2025-09-02,7,Condor,DEL,SIN,Medium-Haul,Business,Round-Trip,HOWRT,B2B_Agent,NDC,2,84527.36,17311.17,203677.06,9267.41,Agent Credit,0,Ticketed,,5
CLR-00021,2025-05-03,2025-06-08,36,KLM,BOM,FRA,Long-Haul,Premium Economy,Multi-City,EOWRT,B2B_Agent,NDC,1,47248.52,8370.22,55618.74,282.11,Debit Card,0,Confirmed,,
CLR-00022,2025-07-14,2025-09-14,62,American Airlines,DEL,LHR,Long-Haul,Economy,Round-Trip,BOWRT,B2B_Agent,GDS,2,35859.78,4239.02,80197.6,,Credit Card,0,Confirmed,,3
CLR-00023,2025-01-14,2025-01-25,11,Etihad Airways,DEL,YYZ,Long-Haul,Business,Round-Trip,HOWRT,B2B_Agent,NDC,2,161244.97,21458.1,365406.14,3761.36,Credit Card,0,Cancelled,,3
CLR-00024,2025-05-07,2025-06-02,26,Singapore Airlines,DEL,LHR,Long-Haul,Economy,Round-Trip,LOWRT,B2B_Agent,GDS,1,46281.99,4789.75,51071.74,0.0,Credit Card,0,Ticketed,,
CLR-00025,2025-11-18,2025-12-20,32,Air Canada,DEL,CDG,Long-Haul,Business,Multi-City,HOWRT,B2C_Website,NDC,3,131336.35,22670.36,462020.13,0.0,Credit Card,0,Confirmed,,4
CLR-00026,2025-11-30,2026-01-04,35,British Airways,BOM,CDG,Long-Haul,Business,Round-Trip,BOWRT,B2C_Website,GDS,1,170342.69,15694.15,186036.84,2603.52,Debit Card,9,Confirmed,,3
CLR-00027,2025-05-22,2025-08-02,72,British Airways,DEL,LHR,Long-Haul,Business,Round-Trip,QOWRT,B2B_Agent,GDS,3,146148.69,21734.5,503649.57,0.0,Credit Card,0,Ticketed,,4
CLR-00028,2025-05-19,2025-06-28,40,Condor,BOM,LHR,Long-Haul,Economy,Round-Trip,EOWRT,B2B_Agent,NDC,3,24763.63,4541.76,87916.17,3673.76,Agent Credit,1,Confirmed,,3
CLR-00029,2025-01-28,2025-04-09,71,Etihad Airways,MAA,KUL,Medium-Haul,Premium Economy,One-Way,QOWRT,API_Partner,NDC,1,27878.35,2949.83,30828.18,0.0,Agent Credit,0,Cancelled,,4
CLR-00030,2025-02-13,2025-03-17,32,British Airways,DEL,CDG,Long-Haul,Business,One-Way,QOWRT,B2C_Website,GDS,2,180523.22,21956.94,404960.32,4026.9,Bank Transfer,0,Ticketed,,4
CLR-00031,2025-01-02,2025-02-24,53,Singapore Airlines,BOM,FRA,Long-Haul,Economy,Round-Trip,VOWRT,B2B_Agent,NDC,4,43308.2,9066.47,209498.68,1850.28,Debit Card,0,Ticketed,Schedule change not communicated,3
CLR-00032,2025-08-28,2025-11-25,89,Lufthansa,MAA,KUL,Medium-Haul,Business,One-Way,MOWRT,B2C_Website,GDS,1,71704.77,11796.86,83501.63,0.0,Agent Credit,2,Ticketed,,5
CLR-00033,2025-08-15,2025-12-11,118,Etihad Airways,BOM,LHR,Long-Haul,First,Multi-City,MOWRT,B2C_Website,GDS,2,180394.4,31355.92,423500.64,0.0,Bank Transfer,0,Refunded,,4
CLR-00034,2025-07-26,2025-11-14,111,Air France,HYD,LHR,Long-Haul,Premium Economy,One-Way,QOWRT,B2C_Website,GDS,1,73782.52,13752.96,87535.48,383.53,Credit Card,1,Ticketed,Meal preference not available onboard,3
CLR-00035,2025-02-28,2025-04-29,60,Etihad Airways,DEL,CDG,Long-Haul,Economy,Round-Trip,QOWRT,API_Partner,GDS,3,26715.54,4199.07,92743.83,5179.58,,17,Confirmed,,
CLR-00036,2025-10-28,2026-01-11,75,Etihad Airways,MAA,DXB,Medium-Haul,Economy,Round-Trip,HOWRT,B2C_Website,NDC,1,22783.23,4950.99,27734.22,535.9,Credit Card,0,Ticketed,,5
CLR-00037,2025-09-11,2025-09-16,5,British Airways,BLR,FRA,Long-Haul,First,Round-Trip,QOWRT,B2B_Agent,NDC,1,109044.0,10924.22,119968.22,0.0,UPI,0,Ticketed,,4
CLR-00038,2025-09-07,2025-12-28,112,Air France,DEL,SIN,Medium-Haul,Premium Economy,Round-Trip,VOWRT,B2B_Agent,GDS,1,27679.53,2595.84,30275.37,0.0,Bank Transfer,17,Ticketed,,4
CLR-00039,2025-03-31,2025-04-11,11,Lufthansa,BOM,CDG,Long-Haul,Premium Economy,One-Way,LOWRT,B2B_Agent,GDS,2,62618.29,10855.36,146947.3,9808.47,Bank Transfer,0,Cancelled,,4
CLR-00040,2025-04-12,2025-06-01,50,KLM,MAA,DXB,Medium-Haul,Economy,Multi-City,MOWRT,B2C_Website,GDS,1,12666.17,2016.84,14683.01,0.0,UPI,7,Ticketed,,5
CLR-00041,2025-12-04,2026-03-02,88,KLM,BLR,FRA,Long-Haul,Business,Round-Trip,EOWRT,B2C_Website,NDC,2,73398.46,8904.37,164605.66,3378.2,Credit Card,16,Ticketed,,5
CLR-00042,2025-02-28,2025-04-29,60,Etihad Airways,MAA,SIN,Medium-Haul,Business,Round-Trip,HOWRT,B2B_Agent,GDS,1,33373.02,4513.38,37886.4,1036.57,Debit Card,8,Ticketed,,
CLR-00043,2025-06-17,2025-10-13,118,Condor,BOM,CDG,Long-Haul,Premium Economy,Round-Trip,VOWRT,B2C_Website,GDS,2,41089.79,8730.62,99640.82,2991.85,Credit Card,0,Cancelled,,4
CLR-00044,2025-03-21,2025-07-13,114,KLM,DEL,YYZ,Long-Haul,Business,Round-Trip,BOWRT,B2C_Website,GDS,2,119638.85,25492.37,290262.44,1798.06,Bank Transfer,15,Ticketed,,4
CLR-00045,2025-01-11,2025-01-18,7,Condor,DEL,AUH,Medium-Haul,First,Round-Trip,BOWRT,API_Partner,NDC,2,130931.4,14745.47,291353.74,0.0,Bank Transfer,1,Ticketed,,5
CLR-00046,2025-10-29,2025-12-10,42,Etihad Airways,DEL,LHR,Long-Haul,Economy,One-Way,QOWRT,B2B_Agent,GDS,1,46697.84,7091.22,53789.06,0.0,Credit Card,0,Ticketed,,4
CLR-00047,2025-08-07,2025-11-03,88,Emirates,DEL,CDG,Long-Haul,Premium Economy,Round-Trip,EOWRT,B2C_Website,GDS,1,50194.08,8464.26,58658.34,6060.76,Debit Card,18,Ticketed,,5
CLR-00048,2025-04-27,2025-06-19,53,Emirates,DEL,AUH,Medium-Haul,Economy,Round-Trip,EOWRT,API_Partner,NDC,1,19675.96,2880.51,22556.47,0.0,Credit Card,0,Refunded,,4
CLR-00049,2025-07-01,2025-10-21,112,Air France,DEL,YYZ,Long-Haul,First,Round-Trip,QOWRT,B2C_Website,GDS,1,155920.55,14835.93,170756.48,4337.81,,0,Ticketed,,5
CLR-00050,2025-12-22,2026-01-26,35,Etihad Airways,DEL,LHR,Long-Haul,Economy,Round-Trip,EOWRT,API_Partner,GDS,1,38780.41,5278.39,44058.8,0.0,Agent Credit,10,Cancelled,,4
CLR-00051,2025-02-13,2025-06-07,114,Etihad Airways,BOM,DXB,Medium-Haul,Economy,Round-Trip,QOWRT,B2C_Website,GDS,2,18320.29,2527.94,41696.46,1254.94,Credit Card,13,Ticketed,,5
CLR-00052,2025-04-19,2025-07-27,99,Air Canada,BLR,FRA,Long-Haul,Economy,Round-Trip,BOWRT,B2B_Agent,GDS,1,36309.81,7141.04,43450.85,858.11,Agent Credit,0,Cancelled,,
CLR-00053,2025-02-28,2025-04-21,52,American Airlines,DEL,LHR,Long-Haul,Economy,Round-Trip,MOWRT,Mobile_App,GDS,1,49183.72,5610.11,54793.83,2559.91,Debit Card,17,Ticketed,,4
CLR-00054,2025-11-27,2026-03-12,105,Condor,BLR,FRA,Long-Haul,Economy,One-Way,VOWRT,B2B_Agent,NDC,3,24225.27,4559.17,86353.32,10121.51,Bank Transfer,11,Ticketed,,
CLR-00055,2025-06-05,2025-09-15,102,Singapore Airlines,BOM,LHR,Long-Haul,Economy,Round-Trip,LOWRT,B2C_Website,NDC,1,20469.74,4114.32,24584.06,0.0,Debit Card,0,Ticketed,,4
CLR-00056,2025-03-19,2025-03-27,8,KLM,BOM,FRA,Long-Haul,Business,One-Way,YOWRT,API_Partner,GDS,2,94029.65,13285.09,214629.48,7168.48,Bank Transfer,11,Ticketed,,5
CLR-00057,2025-05-26,2025-06-28,33,Etihad Airways,BOM,CDG,Long-Haul,Economy,Round-Trip,MOWRT,B2C_Website,NDC,5,22422.79,4018.99,132208.9,0.0,Debit Card,0,Ticketed,,5
CLR-00058,2025-07-05,2025-07-08,3,Air Canada,BLR,CDG,Long-Haul,Economy,Round-Trip,EOWRT,B2B_Agent,GDS,1,23394.95,2840.4,26235.35,0.0,Debit Card,0,Ticketed,,5
CLR-00059,2025-11-16,2026-02-28,104,Emirates,HYD,AMS,Long-Haul,Economy,Multi-City,QOWRT,B2B_Agent,GDS,2,26351.71,2990.49,58684.4,9827.82,Credit Card,0,Ticketed,,5
CLR-00060,2025-11-06,2025-11-24,18,Air France,BOM,LHR,Long-Haul,Premium Economy,One-Way,VOWRT,API_Partner,GDS,3,50870.44,9504.45,181124.67,2847.96,Debit Card,0,Ticketed,,
CLR-00061,2025-07-17,2025-07-28,11,Condor,BLR,CDG,Long-Haul,Economy,Round-Trip,EOWRT,Mobile_App,GDS,3,19032.54,3967.06,68998.8,12558.76,Credit Card,20,Confirmed,"Connection time too short, missed connecting flight",1
CLR-00062,2025-06-04,2025-06-20,16,Condor,BOM,DXB,Medium-Haul,Economy,One-Way,YOWRT,API_Partner,GDS,4,18743.23,3008.41,87006.56,0.0,Credit Card,0,Confirmed,,4
CLR-00063,2025-09-17,2025-11-27,71,Lufthansa,DEL,LHR,Long-Haul,Business,Round-Trip,HOWRT,B2B_Agent,GDS,3,164817.27,21141.5,557876.31,0.0,UPI,0,Ticketed,,4
CLR-00064,2025-03-11,2025-03-20,9,Air France,BOM,FRA,Long-Haul,Economy,One-Way,MOWRT,B2B_Agent,NDC,4,54593.19,8517.86,252444.2,2146.48,Bank Transfer,0,Confirmed,,3
CLR-00065,2025-07-17,2025-08-30,44,Emirates,HYD,AMS,Long-Haul,Premium Economy,Round-Trip,MOWRT,B2B_Agent,GDS,1,36993.37,6079.62,43072.99,0.0,Credit Card,0,Refunded,,4
CLR-00066,2025-06-30,2025-09-17,79,Air Canada,DEL,YYZ,Long-Haul,Premium Economy,Round-Trip,EOWRT,API_Partner,NDC,2,95821.78,9581.14,210805.84,3743.59,Credit Card,0,Ticketed,,5
CLR-00067,2025-10-21,2025-11-08,18,American Airlines,HYD,LHR,Long-Haul,Economy,One-Way,QOWRT,B2C_Website,NDC,3,36963.67,7684.6,133944.81,0.0,Credit Card,3,Confirmed,,4
CLR-00068,2025-02-14,2025-05-29,104,American Airlines,DEL,AUH,Medium-Haul,Premium Economy,Round-Trip,EOWRT,B2C_Website,NDC,1,38687.11,5850.49,44537.6,0.0,UPI,0,Ticketed,,4
CLR-00069,2025-07-23,2025-10-23,92,British Airways,MAA,DXB,Medium-Haul,Economy,One-Way,VOWRT,B2C_Website,GDS,1,15649.57,2742.04,18391.61,942.5,Agent Credit,0,Ticketed,,4
CLR-00070,2025-03-24,2025-05-05,42,American Airlines,DEL,JFK,Long-Haul,Business,One-Way,LOWRT,B2C_Website,NDC,1,77984.79,9544.98,87529.77,2967.14,Bank Transfer,19,Confirmed,,
CLR-00071,2025-11-25,2026-03-04,99,Air Canada,BLR,SFO,Long-Haul,Premium Economy,Round-Trip,LOWRT,API_Partner,GDS,2,74893.2,9158.93,168104.26,1304.69,Bank Transfer,20,Confirmed,,4
CLR-00072,2025-06-26,2025-08-17,52,American Airlines,BLR,FRA,Long-Haul,Economy,One-Way,EOWRT,B2B_Agent,NDC,2,21220.76,2559.85,47561.22,6820.82,Debit Card,6,Ticketed,,5
CLR-00073,2025-06-07,2025-08-10,64,KLM,DEL,LHR,Long-Haul,Business,One-Way,YOWRT,B2C_Website,GDS,1,98429.54,16108.25,114537.79,2750.12,Credit Card,0,Cancelled,,4
CLR-00074,2025-07-05,2025-09-14,71,KLM,MAA,KUL,Medium-Haul,Economy,Round-Trip,VOWRT,B2C_Website,GDS,2,10187.28,952.87,22280.3,3884.69,Credit Card,5,Confirmed,,4
CLR-00075,2025-03-18,2025-06-04,78,Etihad Airways,HYD,LHR,Long-Haul,Economy,Multi-City,LOWRT,B2C_Website,NDC,3,39805.3,6011.56,137450.58,15485.1,UPI,0,Ticketed,,
CLR-00076,2025-01-14,2025-04-01,77,Air Canada,MAA,DXB,Medium-Haul,First,Round-Trip,QOWRT,API_Partner,GDS,3,65392.23,10990.05,229146.84,4858.32,Bank Transfer,0,Refunded,"Flight delayed by 3 hours, requesting compensation",2
CLR-00077,2025-11-10,2026-03-08,118,Air France,MAA,DXB,Medium-Haul,Premium Economy,Multi-City,MOWRT,B2C_Website,GDS,2,24000.83,2501.98,53005.62,8423.27,Debit Card,8,Ticketed,,5
CLR-00078,2025-06-02,2025-09-09,99,Condor,MAA,KUL,Medium-Haul,Premium Economy,Round-Trip,LOWRT,B2C_Website,GDS,4,23206.35,3719.67,107704.08,17593.88,Agent Credit,0,Ticketed,,4
CLR-00079,2025-09-03,2025-10-01,28,British Airways,COK,DOH,Medium-Haul,Economy,One-Way,BOWRT,B2C_Website,NDC,3,12121.79,2106.49,42684.84,10885.07,Credit Card,18,Cancelled,,4
CLR-00080,2025-09-01,2025-11-02,62,Air Canada,COK,DOH,Medium-Haul,Economy,One-Way,YOWRT,B2C_Website,GDS,2,23524.91,2458.57,51966.96,,Credit Card,2,Confirmed,,
CLR-00081,2025-06-21,2025-07-28,37,British Airways,BOM,FRA,Long-Haul,Economy,Round-Trip,VOWRT,API_Partner,NDC,1,29967.59,5464.79,35432.38,1218.6,Credit Card,0,Ticketed,,5
CLR-00082,2025-07-25,2025-10-19,86,Etihad Airways,DEL,CDG,Long-Haul,First,One-Way,QOWRT,B2C_Website,GDS,1,274742.99,58675.45,333418.44,1082.46,Bank Transfer,17,Cancelled,Refund not processed after 30 days,2
CLR-00083,2025-12-20,2026-01-05,16,American Airlines,MAA,KUL,Medium-Haul,Premium Economy,One-Way,HOWRT,B2B_Agent,NDC,3,27124.88,4255.7,94141.74,13202.18,Agent Credit,0,Ticketed,,5
CLR-00084,2025-02-27,2025-03-07,8,British Airways,DEL,SIN,Medium-Haul,Economy,Multi-City,BOWRT,B2C_Website,NDC,2,20187.61,2996.57,46368.36,9454.83,,0,Cancelled,,4
CLR-00085,2025-01-02,2025-04-08,96,Singapore Airlines,COK,DOH,Medium-Haul,Economy,Round-Trip,VOWRT,B2C_Website,GDS,1,24764.33,3617.82,28382.15,908.87,UPI,0,Ticketed,,
CLR-00086,2025-12-16,2026-03-11,85,Etihad Airways,DEL,SIN,Medium-Haul,Premium Economy,Round-Trip,BOWRT,B2B_Agent,NDC,2,39945.54,7424.48,94740.04,1926.01,UPI,4,Confirmed,,3
CLR-00087,2025-01-09,2025-02-09,31,KLM,COK,DOH,Medium-Haul,Economy,Round-Trip,YOWRT,B2B_Agent,GDS,1,14838.51,1673.9,16512.41,627.19,UPI,0,Refunded,Duplicate charge on credit card for same booking,2
CLR-00088,2025-12-05,2026-02-10,67,Lufthansa,DEL,JFK,Long-Haul,Economy,Multi-City,MOWRT,B2B_Agent,GDS,4,38388.81,3323.08,166847.56,8649.52,Bank Transfer,0,Ticketed,,4
CLR-00089,2025-12-29,2026-01-17,19,Air France,BOM,FRA,Long-Haul,Economy,One-Way,BOWRT,Mobile_App,GDS,1,29951.84,2727.71,32679.55,4714.97,Credit Card,0,Confirmed,,4
CLR-00090,2025-10-14,2025-11-11,28,Condor,MAA,DXB,Medium-Haul,Business,One-Way,VOWRT,B2B_Agent,GDS,4,72439.31,13445.19,343538.0,2391.25,UPI,0,Ticketed,,4
CLR-00091,2025-08-27,2025-09-09,13,American Airlines,MAA,DXB,Medium-Haul,Business,Round-Trip,EOWRT,B2B_Agent,GDS,1,28965.08,4560.95,33526.03,1987.98,Credit Card,16,Confirmed,,
CLR-00092,2025-03-28,2025-06-30,94,Etihad Airways,BLR,CDG,Long-Haul,Economy,Multi-City,YOWRT,B2C_Website,NDC,6,37195.52,7344.98,267243.0,0.0,Bank Transfer,17,Ticketed,,5
CLR-00093,2025-11-12,2026-03-09,117,Emirates,MAA,DXB,Medium-Haul,Economy,One-Way,LOWRT,B2C_Website,GDS,3,8291.42,1607.23,29695.95,9796.26,Agent Credit,12,Cancelled,Unable to add extra baggage through portal,2
CLR-00094,2025-07-27,2025-09-24,59,Condor,BLR,SFO,Long-Haul,First,Round-Trip,YOWRT,B2B_Agent,GDS,2,126581.51,16847.61,286858.24,9760.05,Bank Transfer,0,Ticketed,,4
CLR-00095,2025-04-28,2025-05-26,28,Emirates,BLR,SFO,Long-Haul,Economy,Round-Trip,YOWRT,Mobile_App,GDS,2,24307.86,4838.72,58293.16,0.0,Bank Transfer,0,Ticketed,Schedule change not communicated,2
CLR-00096,2025-07-16,2025-10-21,97,KLM,BLR,FRA,Long-Haul,Economy,Round-Trip,HOWRT,Mobile_App,NDC,3,40233.31,6676.36,140729.01,11016.9,Credit Card,0,Ticketed,,5
CLR-00097,2025-11-13,2025-12-21,38,KLM,DEL,JFK,Long-Haul,Economy,Round-Trip,HOWRT,B2B_Agent,GDS,3,31090.19,2885.57,101927.28,2834.21,UPI,0,Cancelled,,4
CLR-00098,2025-11-02,2026-01-18,77,Lufthansa,DEL,AUH,Medium-Haul,Economy,Round-Trip,BOWRT,B2C_Website,GDS,2,17723.33,1838.65,39123.96,3347.51,Credit Card,0,Cancelled,"Connection time too short, missed connecting flight",2
CLR-00099,2025-11-17,2026-01-20,64,Singapore Airlines,BOM,CDG,Long-Haul,Economy,Multi-City,MOWRT,B2B_Agent,NDC,1,47672.46,6013.21,53685.67,1395.92,Agent Credit,0,Ticketed,,5
CLR-00100,2025-12-22,2026-03-14,82,Singapore Airlines,MAA,DXB,Medium-Haul,Business,Round-Trip,BOWRT,B2B_Agent,NDC,1,63237.51,9889.59,73127.1,2634.58,UPI,0,Ticketed,,3
CLR-00101,2025-06-05,2025-07-06,31,Etihad Airways,BOM,LHR,Long-Haul,Premium Economy,Multi-City,MOWRT,API_Partner,NDC,2,67653.61,14159.18,163625.58,5218.23,UPI,0,Ticketed,,3
CLR-00102,2025-01-23,2025-04-06,73,American Airlines,CCU,BKK,Medium-Haul,First,Round-Trip,BOWRT,B2C_Website,NDC,2,93469.41,12595.82,212130.46,6507.45,Agent Credit,0,Ticketed,,5
CLR-00103,2025-09-24,2025-11-25,62,Emirates,BLR,CDG,Long-Haul,Economy,One-Way,VOWRT,API_Partner,GDS,1,18444.68,2361.49,20806.17,0.0,Credit Card,0,Confirmed,,4
CLR-00104,2025-11-24,2026-02-17,85,Lufthansa,DEL,YYZ,Long-Haul,Economy,Round-Trip,BOWRT,B2C_Website,NDC,1,25296.34,4688.06,29984.4,0.0,UPI,0,Confirmed,,4
CLR-00105,2025-07-20,2025-10-04,76,American Airlines,DEL,CDG,Long-Haul,Economy,Round-Trip,VOWRT,B2C_Website,NDC,3,42736.92,5292.8,144089.16,1208.07,Credit Card,18,Ticketed,,4
CLR-00106,2025-10-12,2025-11-03,22,Air Canada,MAA,DXB,Medium-Haul,Economy,One-Way,YOWRT,B2B_Agent,GDS,1,16238.35,1742.67,17981.02,3659.57,Debit Card,1,Ticketed,,4
CLR-00107,2025-04-26,2025-07-04,69,Etihad Airways,MAA,KUL,Medium-Haul,Business,Round-Trip,VOWRT,B2C_Website,GDS,2,43939.39,6856.08,101590.94,3126.13,UPI,0,Confirmed,,5
CLR-00108,2025-05-15,2025-06-29,45,Emirates,MAA,SIN,Medium-Haul,Business,One-Way,HOWRT,B2B_Agent,GDS,3,79232.4,13107.94,277021.02,4994.86,Credit Card,0,Cancelled,Visa rejected but non-refundable ticket purchased,2
CLR-00109,2025-10-21,2025-11-25,35,KLM,HYD,LHR,Long-Haul,Economy,One-Way,EOWRT,API_Partner,GDS,1,43833.35,4320.95,48154.3,0.0,Agent Credit,0,Ticketed,,4
CLR-00110,2025-02-17,2025-04-10,52,Air Canada,HYD,LHR,Long-Haul,Premium Economy,Round-Trip,VOWRT,API_Partner,GDS,2,80886.34,11662.43,185097.54,4050.32,UPI,18,Ticketed,,4
CLR-00111,2025-06-25,2025-10-18,115,Air France,BOM,DXB,Medium-Haul,Economy,One-Way,QOWRT,API_Partner,GDS,4,15760.81,3449.37,76840.72,7023.18,Bank Transfer,0,Refunded,"Connection time too short, missed connecting flight",1
CLR-00112,2025-01-27,2025-03-19,51,Condor,MAA,KUL,Medium-Haul,Economy,One-Way,BOWRT,B2B_Agent,NDC,1,16830.55,2395.14,19225.69,0.0,Agent Credit,0,Confirmed,Infant ticket pricing seems incorrect,1
CLR-00113,2025-07-15,2025-10-23,100,Etihad Airways,BLR,FRA,Long-Haul,Economy,One-Way,BOWRT,B2C_Website,GDS,1,41090.19,4158.01,45248.2,2790.19,Debit Card,0,Refunded,Refund not processed after 30 days,2
CLR-00114,2025-05-22,2025-08-13,83,Condor,MAA,SIN,Medium-Haul,Economy,Round-Trip,LOWRT,B2C_Website,GDS,2,11492.58,1895.93,26777.02,1247.84,Credit Card,16,Refunded,,4
CLR-00115,2025-01-07,2025-02-23,47,Etihad Airways,DEL,AUH,Medium-Haul,Economy,Round-Trip,QOWRT,API_Partner,GDS,1,24225.7,4550.83,28776.53,0.0,Credit Card,0,Ticketed,,4
CLR-00116,2025-11-24,2026-02-01,69,Singapore Airlines,DEL,SIN,Medium-Haul,Economy,Multi-City,EOWRT,B2B_Agent,NDC,5,17118.63,2305.92,97122.75,0.0,Debit Card,0,Confirmed,,3
CLR-00117,2025-03-31,2025-04-16,16,Etihad Airways,DEL,LHR,Long-Haul,Premium Economy,Round-Trip,LOWRT,B2B_Agent,GDS,3,42919.95,4196.3,141348.75,3698.81,Credit Card,0,Ticketed,,4
CLR-00118,2025-01-29,2025-04-03,64,Etihad Airways,BLR,SFO,Long-Haul,Economy,Round-Trip,BOWRT,B2B_Agent,NDC,3,45305.17,3640.7,146837.61,0.0,Debit Card,0,Ticketed,,5
CLR-00119,2025-08-02,2025-11-28,118,Air Canada,DEL,AUH,Medium-Haul,Business,Round-Trip,BOWRT,B2C_Website,NDC,1,75858.11,16491.4,92349.51,1422.32,Debit Card,19,Ticketed,,3
CLR-00120,2025-07-08,2025-09-22,76,Condor,MAA,DXB,Medium-Haul,Premium Economy,One-Way,YOWRT,B2C_Website,GDS,4,21529.73,2766.56,97185.16,0.0,Credit Card,16,Ticketed,,4
CLR-00121,2025-05-24,2025-06-05,12,Condor,BOM,DXB,Medium-Haul,Business,Round-Trip,VOWRT,B2C_Website,GDS,5,62555.85,9430.91,359933.8,7185.38,Bank Transfer,0,Confirmed,,3
CLR-00122,2025-05-20,2025-06-19,30,Condor,MAA,SIN,Medium-Haul,Economy,One-Way,HOWRT,API_Partner,NDC,2,14910.71,2311.6,34444.62,951.92,Debit Card,0,Ticketed,,5
