booking_id,booking_date,departure_date,lead_time_days,airline,origin,destination,haul_type,cabin_class,trip_type,fare_basis,booking_channel,booking_source,pax_count,base_fare_inr,taxes_inr,total_fare_inr,ancillary_revenue_inr,payment_method,prior_bookings,booking_status,customer_complaint,satisfaction_score,calculated_lead_time,expected_total_fare,route,booking_month,booking_day,travel_month,fare_per_passenger,booking_window,loyalty_segment,is_cancelled,lead_time_bin,fare_quintile,booking_month_name,customer_type
CLR-00056,2025-03-19,2025-03-27,8,KLM,BOM,FRA,Long-Haul,Business,One-Way,YOWRT,API_Partner,GDS,2,94029.65,13285.09,214629.48,7168.48,Bank Transfer,11,Ticketed,No,5.0,8,214629.47999999998,BOM → FRA,3,Wednesday,March,107314.74,Short_Term,Frequent,0,8-30d,"Q5
(Highest)",Mar,Repeat Customer
CLR-00057,2025-05-26,2025-06-28,33,Etihad Airways,BOM,CDG,Long-Haul,Economy,Round-Trip,MOWRT,B2C_Website,NDC,5,22422.79,4018.99,132208.9,0.0,Debit Card,0,Ticketed,No,5.0,33,132208.9,BOM → CDG,5,Monday,June,26441.78,Planned,New,0,31-90d,Q4,May,New Customer
CLR-00058,2025-07-05,2025-07-08,3,Air Canada,BLR,CDG,Long-Haul,Economy,Round-Trip,EOWRT,B2B_Agent,GDS,1,23394.95,2840.4,26235.35,0.0,Debit Card,0,Ticketed,No,5.0,3,26235.350000000002,BLR → CDG,7,Saturday,July,26235.35,Last_Minute,New,0,0-7d,"Q1
(Lowest)",Jul,New Customer
CLR-00059,2025-11-16,2026-02-28,104,Emirates,HYD,AMS,Long-Haul,Economy,Multi-City,QOWRT,B2B_Agent,GDS,2,26351.71,2990.49,58684.4,9827.82,Credit Card,0,Ticketed,No,5.0,104,58684.399999999994,HYD → AMS,11,Sunday,February,29342.2,Early_Bird,New,0,91-180d,Q2,Nov,New Customer
CLR-00060,2025-11-06,2025-11-24,18,Air France,BOM,LHR,Long-Haul,Premium Economy,One-Way,VOWRT,API_Partner,GDS,3,50870.44,9504.45,181124.67,2847.96,Debit Card,0,Ticketed,No,4.0,18,181124.66999999998,BOM → LHR,11,Thursday,November,60374.89000000001,Short_Term,New,0,8-30d,"Q5
(Highest)",Nov,New Customer
CLR-00061,2025-07-17,2025-07-28,11,Condor,BLR,CDG,Long-Haul,Economy,Round-Trip,EOWRT,Mobile_App,GDS,3,19032.54,3967.06,68998.8,12558.76,Credit Card,20,Confirmed,"Connection time too short, missed connecting flight",1.0,11,68998.8,BLR → CDG,7,Thursday,July,22999.600000000002,Short_Term,Frequent,0,8-30d,Q3,Jul,Repeat Customer
CLR-00062,2025-06-04,2025-06-20,16,Condor,BOM,DXB,Medium-Haul,Economy,One-Way,YOWRT,API_Partner,GDS,4,18743.23,3008.41,87006.56,0.0,Credit Card,0,Confirmed,No,4.0,16,87006.56,BOM → DXB,6,Wednesday,June,21751.64,Short_Term,New,0,8-30d,Q3,Jun,New Customer
CLR-00063,2025-09-17,2025-11-27,71,Lufthansa,DEL,LHR,Long-Haul,Business,Round-Trip,HOWRT,B2B_Agent,GDS,3,164817.27,21141.5,557876.31,0.0,UPI,0,Ticketed,No,4.0,71,557876.3099999999,DEL → LHR,9,Wednesday,November,185958.77000000002,Planned,New,0,31-90d,"Q5
(Highest)",Sep,New Customer
CLR-00064,2025-03-11,2025-03-20,9,Air France,BOM,FRA,Long-Haul,Economy,One-Way,MOWRT,B2B_Agent,NDC,4,54593.19,8517.86,252444.2,2146.48,Bank Transfer,0,Confirmed,No,3.0,9,252444.2,BOM → FRA,3,Tuesday,March,63111.05,Short_Term,New,0,8-30d,"Q5
(Highest)",Mar,New Customer
CLR-00065,2025-07-17,2025-08-30,44,Emirates,HYD,AMS,Long-Haul,Premium Economy,Round-Trip,MOWRT,B2B_Agent,GDS,1,36993.37,6079.62,43072.99,0.0,Credit Card,0,Refunded,No,4.0,44,43072.990000000005,HYD → AMS,7,Thursday,August,43072.99,Planned,New,1,31-90d,Q2,Jul,New Customer
CLR-00066,2025-06-30,2025-09-17,79,Air Canada,DEL,YYZ,Long-Haul,Premium Economy,Round-Trip,EOWRT,API_Partner,NDC,2,95821.78,9581.14,210805.84,3743.59,Credit Card,0,Ticketed,No,5.0,79,210805.84,DEL → YYZ,6,Monday,September,105402.92,Planned,New,0,31-90d,"Q5
(Highest)",Jun,New Customer
CLR-00067,2025-10-21,2025-11-08,18,American Airlines,HYD,LHR,Long-Haul,Economy,One-Way,QOWRT,B2C_Website,NDC,3,36963.67,7684.6,133944.81,0.0,Credit Card,3,Confirmed,No,4.0,18,133944.81,HYD → LHR,10,Tuesday,November,44648.27,Short_Term,Occasional,0,8-30d,Q4,Oct,Repeat Customer
CLR-00068,2025-02-14,2025-05-29,104,American Airlines,DEL,AUH,Medium-Haul,Premium Economy,Round-Trip,EOWRT,B2C_Website,NDC,1,38687.11,5850.49,44537.6,0.0,UPI,0,Ticketed,No,4.0,104,44537.6,DEL → AUH,2,Friday,May,44537.6,Early_Bird,New,0,91-180d,Q2,Feb,New Customer
CLR-00069,2025-07-23,2025-10-23,92,British Airways,MAA,DXB,Medium-Haul,Economy,One-Way,VOWRT,B2C_Website,GDS,1,15649.57,2742.04,18391.61,942.5,Agent Credit,0,Ticketed,No,4.0,92,18391.61,MAA → DXB,7,Wednesday,October,18391.61,Early_Bird,New,0,91-180d,"Q1
(Lowest)",Jul,New Customer
CLR-00070,2025-03-24,2025-05-05,42,American Airlines,DEL,JFK,Long-Haul,Business,One-Way,LOWRT,B2C_Website,NDC,1,77984.79,9544.98,87529.77,2967.14,Bank Transfer,19,Confirmed,No,4.0,42,87529.76999999999,DEL → JFK,3,Monday,May,87529.77,Planned,Frequent,0,31-90d,Q3,Mar,Repeat Customer
CLR-00071,2025-11-25,2026-03-04,99,Air Canada,BLR,SFO,Long-Haul,Premium Economy,Round-Trip,LOWRT,API_Partner,GDS,2,74893.2,9158.93,168104.26,1304.69,Bank Transfer,20,Confirmed,No,4.0,99,168104.26,BLR → SFO,11,Tuesday,March,84052.13,Early_Bird,Frequent,0,91-180d,Q4,Nov,Repeat Customer
CLR-00072,2025-06-26,2025-08-17,52,American Airlines,BLR,FRA,Long-Haul,Economy,One-Way,EOWRT,B2B_Agent,NDC,2,21220.76,2559.85,47561.22,6820.82,Debit Card,6,Ticketed,No,5.0,52,47561.219999999994,BLR → FRA,6,Thursday,August,23780.61,Planned,Regular,0,31-90d,Q2,Jun,Repeat Customer
CLR-00073,2025-06-07,2025-08-10,64,KLM,DEL,LHR,Long-Haul,Business,One-Way,YOWRT,B2C_Website,GDS,1,98429.54,16108.25,114537.79,2750.12,Credit Card,0,Cancelled,No,4.0,64,114537.79,DEL → LHR,6,Saturday,August,114537.79,Planned,New,1,31-90d,Q4,Jun,New Customer
CLR-00074,2025-07-05,2025-09-14,71,KLM,MAA,KUL,Medium-Haul,Economy,Round-Trip,VOWRT,B2C_Website,GDS,2,10187.28,952.87,22280.3,3884.69,Credit Card,5,Confirmed,No,4.0,71,22280.300000000003,MAA → KUL,7,Saturday,September,11140.15,Planned,Occasional,0,31-90d,"Q1
(Lowest)",Jul,Repeat Customer
CLR-00075,2025-03-18,2025-06-04,78,Etihad Airways,HYD,LHR,Long-Haul,Economy,Multi-City,LOWRT,B2C_Website,NDC,3,39805.3,6011.56,137450.58,15485.1,UPI,0,Ticketed,No,4.0,78,137450.58000000002,HYD → LHR,3,Tuesday,June,45816.85999999999,Planned,New,0,31-90d,Q4,Mar,New Customer
CLR-00076,2025-01-14,2025-04-01,77,Air Canada,MAA,DXB,Medium-Haul,First,Round-Trip,QOWRT,API_Partner,GDS,3,65392.23,10990.05,229146.84,4858.32,Bank Transfer,0,Refunded,"Flight delayed by 3 hours, requesting compensation",2.0,77,229146.84,MAA → DXB,1,Tuesday,April,76382.28,Planned,New,1,31-90d,"Q5
(Highest)",Jan,New Customer
